path,file_name,exp_id,sensor,frequency,activity_id,activity,activity_details
DataSet2/User25/322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,322,Gyroscope,100.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User25/317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,317,Pressure,7.330Hz,6,While sitting,Moving chair
DataSet2/User25/314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,314,Accelerometer,100.000Hz,3,Using computer,Typing
DataSet2/User25/324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,324,Accelerometer,100.000Hz,14,Sitting,Pick up items from floor
DataSet2/User25/320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,320_MetaWear_2021-08-01T15.06.24.158_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,320,Pressure,7.330Hz,10,Standing,Running
DataSet2/User25/322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,322_MetaWear_2021-08-01T15.13.25.218_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,322,Accelerometer,100.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User25/317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,317_MetaWear_2021-08-01T14.55.44.434_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,317,Accelerometer,100.000Hz,6,While sitting,Moving chair
DataSet2/User25/324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,324,Pressure,7.330Hz,14,Sitting,Pick up items from floor
DataSet2/User25/312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,312,Magnetometer,20.000Hz,1,Sitting,Reading a book
DataSet2/User25/312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,312_MetaWear_2021-08-01T14.37.58.864_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,312,Gyroscope,100.000Hz,1,Sitting,Reading a book
DataSet2/User25/313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,313_MetaWear_2021-08-01T14.41.52.781_EB942CED9472_Accelerometer_100.000Hz_1.5.1.csv,313,Accelerometer,100.000Hz,2,Sitting,Writing in a notebook
DataSet2/User25/314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,314_MetaWear_2021-08-01T14.45.33.348_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,314,Gyroscope,100.000Hz,3,Using computer,Typing
DataSet2/User25/318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,318_MetaWear_2021-08-01T14.59.48.670_EB942CED9472_Pressure_7.330Hz_1.5.1.csv,318,Pressure,7.330Hz,7,Sitting,Stand up from sitting
DataSet2/User25/324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,324_MetaWear_2021-08-01T15.22.15.517_EB942CED9472_Magnetometer_20.000Hz_1.5.1.csv,324,Magnetometer,20.000Hz,14,Sitting,Pick up items from floor
DataSet2/User25/323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,323_MetaWear_2021-08-01T15.17.24.664_EB942CED9472_Gyroscope_100.000Hz_1.5.1.csv,323,Gyroscope,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User22/276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,276,Magnetometer,20.000Hz,9,Standing,Walking
DataSet2/User22/279_Werable1_2020-11-07T10.41.16.179_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,279_Werable1_2020-11-07T10.41.16.179_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,279,Magnetometer,20.000Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User22/279_Werable1_2020-11-07T10.41.16.179_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,279_Werable1_2020-11-07T10.41.16.179_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,279,Pressure,7.330Hz,12,Sitting,Stationary->Wear it->Put it back->stationary (15 s delay between thetransitions)
DataSet2/User22/269_Werable1_2020-11-07T10.13.21.344_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,269_Werable1_2020-11-07T10.13.21.344_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,269,Magnetometer,20.000Hz,2,Sitting,Writing in a notebook
DataSet2/User22/273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,273,Pressure,7.330Hz,6,While sitting,Moving chair
DataSet2/User22/282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,282,Magnetometer,20.000Hz,15,Standing,Pick up items from floor
DataSet2/User22/271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,271,Magnetometer,20.000Hz,4,Using computer,Browsing
DataSet2/User22/277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,277,Accelerometer,100.000Hz,10,Standing,Running
DataSet2/User22/276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,276,Accelerometer,100.000Hz,9,Standing,Walking
DataSet2/User22/272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,272,Gyroscope,100.000Hz,5,While sitting,"Moving head, body"
DataSet2/User22/273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,273,Magnetometer,20.000Hz,6,While sitting,Moving chair
DataSet2/User22/276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,276,Pressure,7.330Hz,9,Standing,Walking
DataSet2/User22/275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,275,Magnetometer,20.000Hz,8,Standing,Standing
DataSet2/User22/280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,280,Pressure,7.330Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User22/282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,282,Gyroscope,100.000Hz,15,Standing,Pick up items from floor
DataSet2/User22/275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,275,Accelerometer,100.000Hz,8,Standing,Standing
DataSet2/User22/270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,270,Accelerometer,100.000Hz,3,Using computer,Typing
DataSet2/User22/272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,272,Pressure,7.330Hz,5,While sitting,"Moving head, body"
DataSet2/User22/282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,282,Accelerometer,100.000Hz,15,Standing,Pick up items from floor
DataSet2/User22/277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,277,Magnetometer,20.000Hz,10,Standing,Running
DataSet2/User22/271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,271,Gyroscope,100.000Hz,4,Using computer,Browsing
DataSet2/User22/276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,276_Werable1_2020-11-07T10.55.27.209_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,276,Gyroscope,100.000Hz,9,Standing,Walking
DataSet2/User22/282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,282_Werable1_2020-11-07T10.51.00.156_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,282,Pressure,7.330Hz,15,Standing,Pick up items from floor
DataSet2/User22/272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,272_Werable1_2020-11-07T10.25.22.955_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,272,Magnetometer,20.000Hz,5,While sitting,"Moving head, body"
DataSet2/User22/277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,277_Werable1_2020-11-07T10.58.42.895_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,277,Gyroscope,100.000Hz,10,Standing,Running
DataSet2/User22/280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,280,Magnetometer,20.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User22/270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,270,Pressure,7.330Hz,3,Using computer,Typing
DataSet2/User22/273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Gyroscope_25.000Hz_1.5.0.csv,273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Gyroscope_25.000Hz_1.5.0.csv,273,Gyroscope,25.000Hz,6,While sitting,Moving chair
DataSet2/User22/278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,278,Accelerometer,100.000Hz,11,Standing,Taking stairs
DataSet2/User22/273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,273_Werable1_2020-11-07T10.29.47.662_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,273,Accelerometer,100.000Hz,6,While sitting,Moving chair
DataSet2/User22/268_Werable1_2020-11-07T10.07.24.833_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,268_Werable1_2020-11-07T10.07.24.833_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,268,Gyroscope,100.000Hz,1,Sitting,Reading a book
DataSet2/User22/281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,281,Accelerometer,100.000Hz,14,Sitting,Pick up items from floor
DataSet2/User22/275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,275_Werable1_2020-11-07T10.36.48.386_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,275,Pressure,7.330Hz,8,Standing,Standing
DataSet2/User22/269_Werable1_2020-11-07T10.13.21.344_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,269_Werable1_2020-11-07T10.13.21.344_F1E55E2FE95F_Accelerometer_100.000Hz_1.5.0.csv,269,Accelerometer,100.000Hz,2,Sitting,Writing in a notebook
DataSet2/User22/281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,281,Pressure,7.330Hz,14,Sitting,Pick up items from floor
DataSet2/User22/271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,271_Werable1_2020-11-07T10.21.01.512_F1E55E2FE95F_Pressure_7.330Hz_1.5.0.csv,271,Pressure,7.330Hz,4,Using computer,Browsing
DataSet2/User22/270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,270_Werable1_2020-11-07T10.17.08.139_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,270,Magnetometer,20.000Hz,3,Using computer,Typing
DataSet2/User22/280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,280_Werable1_2020-11-07T10.44.47.493_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,280,Gyroscope,100.000Hz,13,Standing,Stationary->Wear it->Put it back->stationary(15 s delay between the transitions)
DataSet2/User22/278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Gyroscope_100.000Hz_1.5.0.csv,278,Gyroscope,100.000Hz,11,Standing,Taking stairs
DataSet2/User22/278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,278_Werable1_2020-11-07T11.02.17.385_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,278,Magnetometer,20.000Hz,11,Standing,Taking stairs
DataSet2/User22/281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,281_Werable1_2020-11-07T10.47.58.389_F1E55E2FE95F_Magnetometer_20.000Hz_1.5.0.csv,281,Magnetometer,20.000Hz,14,Sitting,Pick up items from floor
